"X","species_name","species_code","family","habitat","guild","year","proportion_in_east","mean_longitude","mean_latitude","CEI_ssp2_2050","LEI_ssp2_2050","CEI_ssp5_2050","LEI_ssp5_2050","CEI_ssp2_2080","LEI_ssp2_2080","CEI_ssp5_2080","LEI_ssp5_2080"
1,"Greater Prairie-Chicken","grpchi","Phasianidae","Grasslands","Ground Forager",2022,0.001,-89.444,43.205,3.836,0.456,4.26,0.472,3.281,0.496,5.355,0.515
2,"White-winged Dove","whwdov","Columbidae","Urban","Ground Forager",2022,0.001,-81.8,27.414,2.393,0.477,3.018,0.46,2.571,0.56,3.195,0.601
3,"Eurasian Collared-Dove","eucdov","Columbidae","Urban","Ground Forager",2022,0.001,-85.931,33.116,2.521,0.312,3.004,0.294,2.483,0.355,3.699,0.382
4,"Long-eared Owl","loeowl","Strigidae","Forests","Mammal Hunter",2022,0.001,-76.374,44.929,3.164,0.154,4.884,0.144,3.78,0.187,5.274,0.181
5,"Scissor-tailed Flycatcher","sctfly","Tyrannidae","Grasslands","Flycatcher",2022,0.001,-83.94,30.075,2.092,0.425,2.374,0.315,2.026,0.584,3.058,0.56
6,"Golden Eagle","goleag","Accipitridae","Grasslands","Mammal Hunter",2022,0.002,-81.872,41.209,3.066,0.183,4.057,0.17,3.278,0.201,5.332,0.216
7,"Sharp-tailed Grouse","shtgro","Phasianidae","Grasslands","Ground Forager",2022,0.002,-85.698,46.275,2.473,0.382,3.035,0.329,2.384,0.431,5.116,0.491
8,"Snail Kite","snakit","Accipitridae","Marshes","Aquatic Invertebrate Hunter",2022,0.002,-80.855,26.734,2.357,0.258,2.658,0.224,2.301,0.324,2.854,0.346
9,"Mangrove Cuckoo","mancuc","Cuculidae","Forests","Foliage Gleaner",2022,0.002,-81.269,25.584,2.274,0.096,2.737,0.12,2.427,0.113,2.266,0.185
10,"Cave Swallow","cavswa","Hirundinidae","Grasslands","Aerial Insectivore",2022,0.002,-80.407,26.65,1.599,0.249,1.643,0.279,1.505,0.301,3.053,0.411
11,"Lark Sparrow","larspa","Passerellidae","Grasslands","Ground Forager",2022,0.002,-89.299,38.987,2.851,0.302,3.458,0.3,2.789,0.347,4.554,0.394
12,"Antillean Nighthawk","antnig","Caprimulgidae","Grasslands","Aerial Insectivore",2022,0.003,-81.252,24.701,3.935,0.117,4.408,0.117,3.601,0.119,2.536,0.117
13,"Spot-breasted Oriole","spbori","Icteridae","Urban","Foliage Gleaner",2022,0.003,-80.266,25.864,1.092,0.084,2.449,0.083,1.89,0.084,4.07,0.084
14,"Spruce Grouse","sprgro","Phasianidae","Forests","Ground Forager",2022,0.003,-74.743,46.019,3.688,0.029,5.145,0.027,3.945,0.03,6.332,0.028
15,"Black-whiskered Vireo","bkwvir","Vireonidae","Forests","Foliage Gleaner",2022,0.004,-81.039,25.115,2.588,0.058,3.1,0.057,2.619,0.072,2.369,0.097
16,"Common Raven","comrav","Corvidae","Forests","Generalist",2022,0.005,-79.121,43.381,2.758,0.151,3.734,0.133,2.936,0.167,5.166,0.175
17,"Prairie Falcon","prafal","Falconidae","Grasslands","Bird Hunter",2022,0.005,-88.106,40.523,2.833,0.051,3.536,0.057,2.944,0.053,4.811,0.073
18,"Nanday Parakeet","bkhpar","Psittacidae","Urban","Foliage Gleaner",2022,0.005,-82.519,27.585,2.528,0.198,2.616,0.205,2.255,0.206,2.94,0.215
19,"Bank Swallow","banswa","Hirundinidae","Riparian","Aerial Insectivore",2022,0.006,-85.911,39.012,2.305,0.323,2.956,0.324,2.379,0.368,4.058,0.417
20,"Canada Jay","gryjay","Corvidae","Forests","Generalist",2022,0.006,-71.399,46.039,3.857,0.014,5.756,0.013,4.414,0.014,6.539,0.014
21,"Ring-necked Pheasant","rinphe1","Phasianidae","Grasslands","Ground Forager",2022,0.007,-88.601,41.729,2.939,0.229,3.73,0.243,3.052,0.255,5.038,0.3
22,"Bohemian Waxwing","bohwax","Bombycillidae","Forests","Foliage Gleaner",2022,0.007,-83.663,45.999,2.725,0.188,3.48,0.166,2.665,0.2,4.652,0.2
23,"Black-backed Woodpecker","bkbwoo","Picidae","Forests","Bark Forager",2022,0.007,-72.425,46.014,3.791,0.012,5.704,0.011,4.379,0.012,6.532,0.011
24,"Boreal Chickadee","borchi2","Paridae","Forests","Foliage Gleaner",2022,0.007,-70.24,46.058,4.233,0.01,6.259,0.01,4.797,0.011,6.835,0.01
25,"Gray Kingbird","grykin","Tyrannidae","Open Woodlands","Flycatcher",2022,0.007,-81.135,26.185,1.549,0.124,2.093,0.119,1.687,0.139,2.359,0.15
26,"Barn Swallow","barswa","Hirundinidae","Grasslands","Aerial Insectivore",2022,0.008,-82.59,36.878,2.425,0.331,3.01,0.3,2.437,0.392,3.822,0.429
27,"Clay-colored Sparrow","clcspa","Passerellidae","Scrub","Foliage Gleaner",2022,0.009,-89.138,44.625,3.052,0.324,3.921,0.334,3.084,0.378,5.131,0.445
28,"Rock Pigeon","rocpig","Columbidae","Urban","Ground Forager",2022,0.009,-82.926,40.986,2.697,0.363,3.46,0.357,2.772,0.417,4.541,0.469
29,"House Sparrow","houspa","Passeridae","Urban","Ground Forager",2022,0.011,-84.651,40.889,2.876,0.332,3.553,0.343,2.858,0.376,4.748,0.437
30,"Brewer's Blackbird","brebla","Icteridae","Urban","Ground Forager",2022,0.011,-89.348,36.238,2.753,0.286,3.203,0.277,2.517,0.325,4.104,0.361
31,"American Goshawk","norgos","Accipitridae","Forests","Bird Hunter",2022,0.012,-77.289,45.792,3.132,0.055,4.405,0.049,3.396,0.057,5.735,0.055
32,"Peregrine Falcon","perfal","Falconidae","Generalist","Bird Hunter",2022,0.013,-80.255,34.675,1.752,0.223,2.237,0.214,1.799,0.262,2.857,0.286
33,"Short-tailed Hawk","shthaw","Accipitridae","Forests","Bird Hunter",2022,0.014,-80.945,26.204,1.53,0.262,2.004,0.254,1.729,0.353,2.788,0.414
34,"Lapland Longspur","laplon","Calcariidae","Grasslands","Ground Forager",2022,0.014,-87.808,40.299,3.204,0.15,3.847,0.163,3.102,0.164,5.079,0.205
35,"LeConte's Sparrow","lecspa","Passerellidae","Grasslands","Ground Forager",2022,0.015,-89.845,36.835,2.575,0.235,3.117,0.234,2.44,0.262,4.133,0.298
36,"Wilson's Warbler","wlswar","Parulidae","Scrub","Foliage Gleaner",2022,0.016,-83.595,42.331,2.639,0.326,3.387,0.333,2.687,0.371,4.681,0.425
37,"Bell's Vireo","belvir","Vireonidae","Scrub","Foliage Gleaner",2022,0.018,-88.535,39.189,2.822,0.366,3.457,0.361,2.841,0.399,5.3,0.442
38,"Pine Grosbeak","pingro","Fringillidae","Open Woodlands","Foliage Gleaner",2022,0.02,-79.604,45.896,3.232,0.082,4.406,0.072,3.394,0.086,5.773,0.087
39,"Mississippi Kite","miskit","Accipitridae","Open Woodlands","Flycatcher",2022,0.021,-85.143,32.881,2.721,0.333,3.175,0.276,2.585,0.378,3.19,0.389
40,"Red Crossbill","redcro","Fringillidae","Forests","Foliage Gleaner",2022,0.021,-77.625,43.981,2.578,0.074,3.59,0.077,2.84,0.083,5.486,0.098
41,"Snow Bunting","snobun","Calcariidae","Grasslands","Ground Forager",2022,0.023,-81.814,43.946,2.95,0.261,4.104,0.248,3.276,0.291,5.319,0.321
42,"Rough-legged Hawk","rolhaw","Accipitridae","Grasslands","Mammal Hunter",2022,0.023,-87.106,43.273,2.987,0.261,3.771,0.255,2.996,0.296,4.996,0.333
43,"Cliff Swallow","cliswa","Hirundinidae","Riparian","Aerial Insectivore",2022,0.024,-87.945,37.63,2.77,0.3,3.355,0.274,2.691,0.35,4.225,0.388
44,"European Starling","eursta","Sturnidae","Urban","Generalist",2022,0.024,-83.462,39.111,2.758,0.366,3.392,0.334,2.729,0.439,4.285,0.476
45,"Common Redpoll","comred","Fringillidae","Open Woodlands","Foliage Gleaner",2022,0.025,-83.561,45.022,3.092,0.181,4.114,0.18,3.209,0.208,5.52,0.237
46,"Orange-crowned Warbler","orcwar","Parulidae","Forests","Foliage Gleaner",2022,0.026,-86.037,36.105,2.715,0.332,3.288,0.304,2.606,0.381,3.959,0.412
47,"Vesper Sparrow","vesspa","Passerellidae","Grasslands","Ground Forager",2022,0.027,-85.636,38.6,2.977,0.309,3.585,0.284,2.87,0.349,4.243,0.377
48,"Olive-sided Flycatcher","olsfly","Tyrannidae","Forests","Flycatcher",2022,0.028,-80.723,43.728,2.939,0.184,3.996,0.183,3.144,0.211,5.28,0.241
49,"American Pipit","amepip","Motacillidae","Tundra","Ground Forager",2022,0.03,-82.736,38.377,2.544,0.357,3.134,0.327,2.544,0.425,3.685,0.465
50,"White-crowned Sparrow","whcspa","Passerellidae","Scrub","Ground Forager",2022,0.031,-84.514,41.264,2.972,0.301,3.701,0.286,2.949,0.348,4.824,0.386
51,"White-winged Crossbill","whwcro","Fringillidae","Forests","Foliage Gleaner",2022,0.031,-80.756,45.653,3.099,0.082,4.18,0.077,3.217,0.09,5.574,0.096
52,"Common Ground Dove","cogdov","Columbidae","Scrub","Ground Forager",2022,0.035,-82.256,28.842,2.152,0.393,2.588,0.362,2.38,0.47,2.882,0.514
53,"Horned Lark","horlar","Alaudidae","Grasslands","Ground Forager",2022,0.037,-85.251,40.498,3.112,0.257,3.792,0.263,3.057,0.294,5.033,0.35
54,"Tree Swallow","treswa","Hirundinidae","Generalist","Aerial Insectivore",2022,0.037,-79.565,35.839,1.882,0.273,2.36,0.292,1.909,0.333,2.831,0.412
55,"Painted Bunting","paibun","Icteridae","Scrub","Ground Forager",2022,0.039,-82.846,31.452,2.189,0.318,2.59,0.294,2.165,0.362,2.803,0.387
56,"Northern Shrike","norshr4","Laniidae","Open Woodlands","Bird Hunter",2022,0.04,-84.815,44.85,3.02,0.235,3.962,0.231,3.089,0.27,5.293,0.306
57,"Lincoln's Sparrow","linspa","Passerellidae","Scrub","Ground Forager",2022,0.041,-83.208,41.681,2.734,0.291,3.489,0.287,2.786,0.335,4.792,0.382
58,"Black Vulture","blkvul","Cathartidae","Generalist","Scavenger",2022,0.042,-83.191,33.576,2.308,0.386,2.722,0.305,2.217,0.472,2.984,0.481
59,"Merlin","merlin","Falconidae","Forests","Bird Hunter",2022,0.042,-80.177,39.414,2.33,0.252,3.066,0.242,2.437,0.291,3.992,0.319
60,"Nelson's Sparrow","nstspa","Passerellidae","Marshes","Ground Forager",2022,0.043,-83.466,37.735,2.174,0.198,2.593,0.193,2.023,0.226,3.103,0.246
61,"White-crowned Pigeon","whcpig2","Columbidae","Forests","Foliage Gleaner",2022,0.044,-80.996,25.042,2.326,0.089,2.811,0.085,2.361,0.119,2.324,0.147
62,"Snowy Owl","snoowl1","Strigidae","Tundra","Mammal Hunter",2022,0.044,-85.938,42.405,2.967,0.153,3.757,0.161,3.007,0.172,4.801,0.215
63,"Short-eared Owl","sheowl","Strigidae","Grasslands","Mammal Hunter",2022,0.047,-86.69,40.089,2.846,0.229,3.556,0.221,2.918,0.258,5.112,0.285
64,"Yellow-bellied Flycatcher","yebfly","Tyrannidae","Forests","Flycatcher",2022,0.048,-79.368,43.904,3.116,0.144,4.227,0.138,3.312,0.162,5.703,0.178
65,"Connecticut Warbler","conwar","Parulidae","Forests","Ground Forager",2022,0.05,-81.932,41.067,2.659,0.399,3.18,0.424,2.515,0.445,4.094,0.502
66,"Loggerhead Shrike","logshr","Laniidae","Open Woodlands","Bird Hunter",2022,0.051,-83.122,31.079,2.327,0.419,2.763,0.376,2.392,0.5,2.929,0.532
67,"Grasshopper Sparrow","graspa","Passerellidae","Grasslands","Ground Forager",2022,0.055,-82.329,38.269,2.342,0.39,2.869,0.308,2.311,0.483,3.664,0.489
68,"Northern Saw-whet Owl","nswowl","Strigidae","Forests","Mammal Hunter",2022,0.06,-79.206,44.473,2.945,0.093,4.048,0.092,3.156,0.105,5.609,0.119
69,"Broad-winged Hawk","brwhaw","Accipitridae","Forests","Mammal Hunter",2022,0.061,-81.714,40.533,2.193,0.261,2.791,0.234,2.242,0.297,4.052,0.316
70,"Bald Eagle","baleag","Accipitridae","Forests","Fish Hunter",2022,0.064,-83.87,40.225,2.447,0.288,3.091,0.279,2.463,0.334,4.16,0.378
71,"American Kestrel","amekes","Falconidae","Grasslands","Mammal Hunter",2022,0.067,-82.695,37.537,2.579,0.329,3.218,0.29,2.588,0.388,3.992,0.416
72,"Dickcissel","dickci","Cardinalidae","Grasslands","Ground Forager",2022,0.068,-88.706,39.029,2.929,0.264,3.516,0.267,2.824,0.298,4.737,0.343
