"X","species_name","species_code","family","habitat","guild","year","proportion_in_east","mean_longitude","mean_latitude","CEI_ssp2_2050","LEI_ssp2_2050","CEI_ssp5_2050","LEI_ssp5_2050","CEI_ssp2_2080","LEI_ssp2_2080","CEI_ssp5_2080","LEI_ssp5_2080"
108,"Chipping Sparrow","chispa","Passerellidae","Open Woodlands","Ground Forager",2022,0.182,-82.817,36.303,2.59,0.316,3.137,0.272,2.543,0.363,3.552,0.384
109,"Philadelphia Vireo","phivir","Vireonidae","Forests","Foliage Gleaner",2022,0.19,-83.215,39.729,2.669,0.29,3.416,0.255,2.738,0.337,4.568,0.363
110,"Black-capped Chickadee","bkcchi","Paridae","Forests","Foliage Gleaner",2022,0.19,-79.566,43.818,2.806,0.195,3.81,0.194,3.007,0.22,5.248,0.251
111,"Yellow-rumped Warbler","yerwar","Parulidae","Forests","Foliage Gleaner",2022,0.191,-82.185,37.463,2.488,0.295,3.085,0.27,2.446,0.341,3.764,0.373
112,"Mourning Dove","moudov","Columbidae","Urban","Ground Forager",2022,0.191,-83.049,37.687,2.608,0.32,3.22,0.286,2.587,0.376,3.961,0.406
113,"Cooper's Hawk","coohaw","Accipitridae","Forests","Bird Hunter",2022,0.198,-82.227,38.701,2.459,0.341,3.066,0.317,2.471,0.398,3.975,0.436
114,"Purple Martin","purmar","Hirundinidae","Riparian","Aerial Insectivore",2022,0.2,-83.772,35.56,2.42,0.357,2.875,0.29,2.296,0.453,3.106,0.466
115,"Northern Flicker","norfli","Picidae","Forests","Bark Forager",2022,0.201,-82.509,38.869,2.539,0.301,3.156,0.268,2.525,0.351,4.001,0.38
116,"Northern Bobwhite","norbob","Phasianidae","Grasslands","Ground Forager",2022,0.203,-84.613,34.12,2.666,0.337,3.172,0.288,2.624,0.388,3.613,0.406
117,"Northern Rough-winged Swallow","nrwswa","Hirundinidae","Riparian","Aerial Insectivore",2022,0.208,-85.535,36.093,2.615,0.367,3.129,0.331,2.561,0.429,3.862,0.463
118,"Orchard Oriole","orcori","Icteridae","Open Woodlands","Foliage Gleaner",2022,0.21,-84.391,36.501,2.599,0.351,3.1,0.295,2.459,0.412,3.597,0.433
119,"Hairy Woodpecker","haiwoo","Picidae","Forests","Bark Forager",2022,0.212,-81.903,40.955,2.669,0.264,3.437,0.24,2.73,0.307,4.59,0.336
120,"Northern Mockingbird","normoc","Mimidae","Open Woodlands","Ground Forager",2022,0.214,-83.402,33.863,2.422,0.38,2.868,0.315,2.317,0.451,3.045,0.463
121,"Willow Flycatcher","wilfly","Tyrannidae","Marshes","Flycatcher",2022,0.22,-82.71,41.39,2.821,0.368,3.554,0.368,2.852,0.422,4.749,0.484
122,"Brown-headed Cowbird","bnhcow","Icteridae","Open Woodlands","Ground Forager",2022,0.221,-85.021,36.94,2.678,0.345,3.181,0.316,2.599,0.402,3.841,0.44
123,"Winter Wren","winwre3","Troglodytidae","Forests","Ground Forager",2022,0.243,-80.77,39.93,2.585,0.236,3.324,0.2,2.634,0.275,4.329,0.291
124,"Belted Kingfisher","belkin1","Alcedinidae","Riparian","Fish Hunter",2022,0.246,-82.2,38.066,2.522,0.298,3.185,0.265,2.548,0.349,4.025,0.376
125,"Brown Creeper","brncre","Certhiidae","Forests","Bark Forager",2022,0.251,-81.374,40.797,2.609,0.252,3.347,0.231,2.665,0.292,4.539,0.321
126,"Golden-crowned Kinglet","gockin","Regulidae","Forests","Foliage Gleaner",2022,0.253,-82.496,39.58,2.66,0.27,3.337,0.239,2.659,0.312,4.297,0.338
127,"Magnolia Warbler","magwar","Parulidae","Forests","Foliage Gleaner",2022,0.255,-82.443,39.38,2.647,0.284,3.372,0.245,2.692,0.332,4.375,0.353
128,"Red-winged Blackbird","rewbla","Icteridae","Open Woodlands","Ground Forager",2022,0.256,-83.568,37.202,2.598,0.364,3.154,0.336,2.518,0.431,3.702,0.477
129,"Bicknell's Thrush","bicthr","Turdidae","Forests","Ground Forager",2022,0.258,-72.161,44.341,4.545,0.016,6.143,0.016,4.853,0.016,8.575,0.016
130,"Canada Warbler","canwar","Parulidae","Forests","Foliage Gleaner",2022,0.26,-79.219,42.267,2.642,0.207,3.571,0.205,2.831,0.235,4.926,0.265
131,"Purple Finch","purfin","Fringillidae","Forests","Foliage Gleaner",2022,0.268,-80.031,40.998,2.62,0.233,3.463,0.204,2.74,0.269,4.561,0.287
132,"Cape May Warbler","camwar","Parulidae","Forests","Foliage Gleaner",2022,0.271,-80.572,39.779,2.408,0.274,3.081,0.239,2.464,0.319,4.134,0.336
133,"Yellow-breasted Chat","yebcha","Icteriidae","Scrub","Foliage Gleaner",2022,0.272,-85.547,35.21,2.655,0.32,3.113,0.239,2.471,0.375,3.564,0.378
134,"Black-and-White Warbler","bawwar","Parulidae","Forests","Bark Forager",2022,0.279,-80.746,39.44,2.36,0.243,3.045,0.218,2.443,0.28,4.137,0.304
135,"Boat-tailed Grackle","botgra","Icteridae","Marshes","Ground Forager",2022,0.293,-80.738,28.29,1.886,0.33,2.201,0.308,1.914,0.414,2.732,0.458
136,"Blackburnian Warbler","bkbwar","Parulidae","Forests","Foliage Gleaner",2022,0.295,-80.517,41.327,2.644,0.217,3.475,0.199,2.776,0.249,4.862,0.271
