"Response","Scenario","Model_Structure","delta_AIC","Term","Estimate","SE","t","p_value"
"CEI","SSP5 2080","habitat+lat+long",208.385547933721,"mean_longitude",1.39235058041126,0.256753371299845,5.42291060624564,1.68088543491747e-07
"CEI","SSP5 2080","habitat+lat+long",208.385547933721,"I(mean_longitude^2)",0.00855097394168488,0.00157281033357523,5.43674832186997,1.57108197797048e-07
"CEI","SSP5 2080","order+habitat+lat+long",208.493384062916,"(Intercept)",62.835756077929,10.3369777390342,6.078735745038,6.07742474611574e-09
"CEI","SSP5 2080","order+habitat+lat+long",208.493384062916,"orderPasserine",0.0846094959930413,0.0633448561698596,1.33569639445009,0.183174148762468
"CEI","SSP5 2080","order+habitat+lat+long",208.493384062916,"habitatGeneralist",-0.439859209600595,0.164118068119757,-2.68013884540507,0.00797586936314611
"CEI","SSP5 2080","order+habitat+lat+long",208.493384062916,"habitatGrasslands",0.0781879486100699,0.091240704770126,0.856941524148225,0.392507983461984
"CEI","SSP5 2080","order+habitat+lat+long",208.493384062916,"habitatMarshes",-0.88685599565575,0.152950766119624,-5.79831025470075,2.59684429200527e-08
"CEI","SSP5 2080","order+habitat+lat+long",208.493384062916,"habitatOpen Woodlands",-0.0578669391044238,0.0764251760183502,-0.757171159023952,0.449842901711858
"CEI","SSP5 2080","order+habitat+lat+long",208.493384062916,"habitatRiparian",-0.172375070300099,0.154079618806946,-1.11874024374422,0.264599581979318
"CEI","SSP5 2080","order+habitat+lat+long",208.493384062916,"habitatScrub",-0.0188476912356213,0.105476558642286,-0.1786908055992,0.85836227705415
"CEI","SSP5 2080","order+habitat+lat+long",208.493384062916,"habitatUrban",0.240420269554536,0.134288820332614,1.79032229904953,0.0749223084999804
"CEI","SSP5 2080","order+habitat+lat+long",208.493384062916,"mean_latitude",-0.340205247564948,0.073205841375074,-4.647241820798,6.113394782593e-06
"CEI","SSP5 2080","order+habitat+lat+long",208.493384062916,"I(mean_latitude^2)",0.00691570780656197,0.00101461278470032,6.81610552404448,1.09026625812973e-10
"CEI","SSP5 2080","order+habitat+lat+long",208.493384062916,"mean_longitude",1.37694625154577,0.256510945581342,5.36798243998958,2.2055544157957e-07
"CEI","SSP5 2080","order+habitat+lat+long",208.493384062916,"I(mean_longitude^2)",0.00845734825292246,0.00157130056049523,5.38238734558648,2.05686882367836e-07
